CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Tokenization;Verb_count;Propn_count;Noun_count;Num_count;Pourcentage_verb_sentence;Pourcentage_propn_sentence;Pourcentage_noun_sentence;Pourcentage_num_sentence;Label
Actrice de Théâtre et de Cinéma  Agence d'Actorat;Actrice de Théâtre et de Cinéma  Agence d'Actorat;CV_45;21;10;65.06;34.94;[True, True, True, True, True, True, False, True, False, True];['NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'PROPN'];Actrice de Théâtre et de Cinéma  Agence d'Actorat;0;1;4;0;0.0;0.1;0.4;0.0;0
Domarin  2016;Domarin  2016;CV_45;22;3;66.17;33.83;[True, False, False];['PROPN', 'SPACE', 'NUM'];Domarin  2016;0;1;0;1;0.0;0.3333333333333333;0.0;0.3333333333333333;0
- Présent  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique  Assistante Gestionnaire de Scène  Théâtre de la Colline  2015 - 2016  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + _A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique;- Présent  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique  Assistante Gestionnaire de Scène  Théâtre de la Colline  2015 - 2016  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + _A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique;CV_45;23;91;100.0;0.0;[False, True, False, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, False, False, False, False, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True];['PUNCT', 'ADJ', 'SPACE', 'ADP', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'ADP', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'NOUN', 'NOUN', 'NOUN', 'SPACE', 'ADP', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'ADP', 'SPACE', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN'];- Présent  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique  Assistante Gestionnaire de Scène  Théâtre de la Colline  2015 - 2016  + A étudié l'écriture de scénario et la répétition pour 3 rôles en un an  + _A collaboré avec des réalisateurs et des équipes d'acteurs + A joué dans des clips de musique;6;0;27;2;0.06593406593406594;0.0;0.2967032967032967;0.02197802197802198;0
Carine Maurice  22, rue du Faubourg Saint Honoré  75008 Paris,  01 40 45 65 89;Carine Maurice  22, rue du Faubourg Saint Honoré  75008 Paris,  01 40 45 65 89;CV_46;0;20;6.27;93.73;[True, True, False, False, False, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False];['PROPN', 'PROPN', 'SPACE', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'SPACE', 'NUM', 'PROPN', 'PUNCT', 'SPACE', 'NOUN', 'DET', 'DET', 'DET', 'NUM'];Carine Maurice  22, rue du Faubourg Saint Honoré  75008 Paris,  01 40 45 65 89;0;6;2;3;0.0;0.3;0.1;0.15;1
bonjour@canvasupersite.fr wWww.canvasupersite.fr @canvasupersite.fr  COMPÉTENCES  + Java, HTML;bonjour@canvasupersite.fr wWww.canvasupersite.fr @canvasupersite.fr  COMPÉTENCES  + Java, HTML;CV_46;1;10;9.4;90.6;[False, False, False, False, True, False, False, True, False, True];['NOUN', 'NOUN', 'PROPN', 'SPACE', 'NOUN', 'SPACE', 'ADP', 'PROPN', 'PUNCT', 'ADV'];bonjour@canvasupersite.fr wWww.canvasupersite.fr @canvasupersite.fr  COMPÉTENCES  + Java, HTML;0;2;3;0;0.0;0.2;0.3;0.0;0
, CSS, jQuery, PHP, serveur SQL  + Travail d'équipe, polyvalence et attention particulière aux détails  + Développement de logiciels et de sites  LANGUES  ° Français (langue maternelle);, CSS, jQuery, PHP, serveur SQL  + Travail d'équipe, polyvalence et attention particulière aux détails  + Développement de logiciels et de sites  LANGUES  ° Français langue maternelle;CV_46;2;38;21.32;78.68;[False, True, False, True, False, True, False, True, True, False, False, True, False, True, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True];['PUNCT', 'ADV', 'PUNCT', 'ADV', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'SPACE', 'ADJ', 'SPACE', 'NOUN', 'NOUN', 'ADJ', 'ADJ'];, CSS, jQuery, PHP, serveur SQL  + Travail d'équipe, polyvalence et attention particulière aux détails  + Développement de logiciels et de sites  LANGUES  ° Français langue maternelle;0;0;13;0;0.0;0.0;0.34210526315789475;0.0;0
° Anglais américain (niveau B2) + Espagnol (niveau Bi)     Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles.;° Anglais américain niveau B2 + Espagnol niveau Bi     Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles.;CV_46;3;25;29.15;70.85;[False, True, True, True, False, False, True, True, True, False, True, True, True, False, True, False, True, True, True, True, False];['NOUN', 'PROPN', 'ADJ', 'NOUN', 'NOUN', 'NUM', 'PROPN', 'NOUN', 'ADJ', 'SPACE', 'ADJ', 'VERB', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'];° Anglais américain niveau B2 + Espagnol niveau Bi     Ingénieure logiciel avec 10 ans d'expérience en applications professionnelles.;1;2;7;2;0.04;0.08;0.28;0.08;0
 ; ;CV_46;4;1;29.47;70.53;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
Soucieuse de rejoindre l'entreprise Tech et Cie.;Soucieuse de rejoindre l'entreprise Tech et Cie.;CV_46;5;9;32.29;67.71;[True, True, True, False, True, True, True, True, False];['ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'NOUN', 'PUNCT'];Soucieuse de rejoindre l'entreprise Tech et Cie.;1;1;2;0;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.0;0
pour construire des solutions prêtes à l'emploi pour ses clients régionaux.;pour construire des solutions prêtes à l'emploi pour ses clients régionaux.;CV_46;6;13;36.36;63.64;[True, True, True, True, True, True, False, True, True, True, True, True, False];['ADP', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT'];pour construire des solutions prêtes à l'emploi pour ses clients régionaux.;1;0;3;0;0.07692307692307693;0.0;0.23076923076923078;0.0;0
Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.;Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.;CV_46;7;15;41.07;58.93;[True, True, True, True, True, False, True, True, True, True, True, True, False, True, False];['VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];Qualifiée en élaboration de plans d'action gestion de projets et guide d'utilisation.;1;0;7;0;0.06666666666666667;0.0;0.4666666666666667;0.0;0
 ; ;CV_46;8;1;41.38;58.62;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
EXPÉRIENCE PROFESSIONNELLE  ;EXPÉRIENCE PROFESSIONNELLE  ;CV_46;9;3;42.32;57.68;[True, True, False];['NOUN', 'PROPN', 'SPACE'];EXPÉRIENCE PROFESSIONNELLE  ;0;1;1;0;0.0;0.3333333333333333;0.3333333333333333;0.0;0
Ingénieure logiciel expérimentée  Agence de développement de logiciels Numérix;Ingénieure logiciel expérimentée  Agence de développement de logiciels Numérix;CV_46;10;10;45.45;54.55;[True, True, True, False, True, True, True, True, True, True];['ADJ', 'ADJ', 'VERB', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN'];Ingénieure logiciel expérimentée  Agence de développement de logiciels Numérix;1;1;3;0;0.1;0.1;0.3;0.0;0
| d'août 2017 à aujourd'hui  Supervise Le développement des applications.;| d'août 2017 à aujourd'hui  Supervise Le développement des applications.;CV_46;11;13;49.53;50.47;[False, False, True, False, True, False, False, True, True, True, True, True, False];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'ADV', 'SPACE', 'NUM', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];| d'août 2017 à aujourd'hui  Supervise Le développement des applications.;0;0;3;2;0.0;0.0;0.23076923076923078;0.15384615384615385;0
Recherche et développement de nouvelles façons d'améliorer Le processus de développement.;Recherche et développement de nouvelles façons d'améliorer Le processus de développement.;CV_46;12;13;53.61;46.39;[True, True, True, True, True, True, False, True, True, True, True, True, False];['NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];Recherche et développement de nouvelles façons d'améliorer Le processus de développement.;1;0;5;0;0.07692307692307693;0.0;0.38461538461538464;0.0;0
 ; ;CV_46;13;1;53.92;46.08;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
Formation des ingénieurs logiciel débutants.;Formation des ingénieurs logiciel débutants.;CV_46;14;6;55.8;44.2;[True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'];Formation des ingénieurs logiciel débutants.;0;0;2;0;0.0;0.0;0.3333333333333333;0.0;0
 ; ;CV_46;15;1;56.11;43.89;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
Ingénieure logiciel débutante;Ingénieure logiciel débutante;CV_46;16;3;57.05;42.95;[True, True, True];['ADJ', 'NOUN', 'ADJ'];Ingénieure logiciel débutante;0;0;1;0;0.0;0.0;0.3333333333333333;0.0;0
Agence de développement de logiciels Numérix;Agence de développement de logiciels Numérix;CV_46;17;6;58.93;41.07;[True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN'];Agence de développement de logiciels Numérix;0;1;3;0;0.0;0.16666666666666666;0.5;0.0;0
| de juin 2011 à juin 2017  Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.;| de juin 2011 à juin 2017  Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.;CV_46;18;29;68.03;31.97;[False, True, True, False, True, True, False, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT'];| de juin 2011 à juin 2017  Développement, installation et configuration des applications internes et de nouvelles applications dans les environnements de test et de production.;0;0;10;2;0.0;0.0;0.3448275862068966;0.06896551724137931;0
 ; ;CV_46;19;1;68.34;31.66;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
Stage en génie logiciel chez Solutions Bertrand;Stage en génie logiciel chez Solutions Bertrand;CV_46;20;7;70.53;29.47;[True, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN'];Stage en génie logiciel chez Solutions Bertrand;0;1;3;0;0.0;0.14285714285714285;0.42857142857142855;0.0;0
| de septembre 2010 à mars 2011  Achèvement d'un stage de six mois;| de septembre 2010 à mars 2011  Achèvement d'un stage de six mois;CV_46;21;15;75.24;24.76;[False, True, True, False, True, True, False, False, True, False, True, True, True, True, True];['ADP', 'ADP', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN'];| de septembre 2010 à mars 2011  Achèvement d'un stage de six mois;0;0;5;3;0.0;0.0;0.3333333333333333;0.2;0
pour l'obtention du Master;pour l'obtention du Master;CV_46;22;5;76.8;23.2;[True, False, True, True, True];['ADP', 'DET', 'NOUN', 'ADP', 'NOUN'];pour l'obtention du Master;0;0;2;0;0.0;0.0;0.4;0.0;0
.;.;CV_46;23;1;77.12;22.88;[False];['PUNCT'];.;0;0;0;0;0.0;0.0;0.0;0.0;0
 ; ;CV_46;24;1;77.43;22.57;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
Développement d'un système d'informations pour les ressources humaines basé sur Le cloud, consolidation des informations concernant Les employés provenant de diverses bases de données et serveurs.;Développement d'un système d'informations pour les ressources humaines basé sur Le cloud, consolidation des informations concernant Les employés provenant de diverses bases de données et serveurs.;CV_46;25;30;86.83;13.17;[True, False, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'];Développement d'un système d'informations pour les ressources humaines basé sur Le cloud, consolidation des informations concernant Les employés provenant de diverses bases de données et serveurs.;3;0;11;0;0.1;0.0;0.36666666666666664;0.0;0
 ; ;CV_46;26;1;87.15;12.85;[False];['SPACE']; ;0;0;0;0;0.0;0.0;0.0;0.0;0
FORMATION SCOLAIRE  ;FORMATION SCOLAIRE  ;CV_46;27;3;88.09;11.91;[True, True, False];['NOUN', 'ADJ', 'SPACE'];FORMATION SCOLAIRE  ;0;0;1;0;0.0;0.0;0.3333333333333333;0.0;0
Master en génie;Master en génie;CV_46;28;3;89.03;10.97;[True, True, True];['NOUN', 'ADP', 'NOUN'];Master en génie;0;0;2;0;0.0;0.0;0.6666666666666666;0.0;0
Logiciel de l'université de Lille, Lille;Logiciel de l'université de Lille, Lille;CV_46;29;8;91.54;8.46;[True, True, False, True, True, True, False, True];['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'PROPN'];Logiciel de l'université de Lille, Lille;0;3;1;0;0.0;0.375;0.125;0.0;0
| 2014  Chercheuse diplômée à l'Agence de développement de logiciels Numérix  ;| 2014  Chercheuse diplômée à l'Agence de développement de logiciels Numérix  ;CV_46;30;14;95.92;4.08;[False, False, False, True, True, True, False, True, True, True, True, True, True, False];['ADP', 'NOUN', 'SPACE', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'SPACE'];| 2014  Chercheuse diplômée à l'Agence de développement de logiciels Numérix  ;0;1;6;0;0.0;0.07142857142857142;0.42857142857142855;0.0;0
Licence pro Métiers du génie logiciel, IUT Metz;Licence pro Métiers du génie logiciel, IUT Metz;CV_46;31;9;98.75;1.25;[True, True, True, True, True, True, False, True, True];['NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PROPN'];Licence pro Métiers du génie logiciel, IUT Metz;0;1;5;0;0.0;0.1111111111111111;0.5555555555555556;0.0;0
| 2011;| 2011;CV_46;32;2;99.37;0.63;[False, False];['ADP', 'NOUN'];| 2011;0;0;1;0;0.0;0.0;0.5;0.0;0
Mention bien;Mention bien;CV_46;33;2;100.0;0.0;[True, True];['NOUN', 'ADV'];Mention bien;0;0;1;0;0.0;0.0;0.5;0.0;0
RÉSUMÉ  CARRIÈRE  PARCOURS SCOLAIRE  ;RÉSUMÉ  CARRIÈRE  PARCOURS SCOLAIRE  ;CV_47;0;7;2.46;97.54;[True, False, True, False, True, True, False];['NOUN', 'SPACE', 'NOUN', 'SPACE', 'ADJ', 'NOUN', 'SPACE'];RÉSUMÉ  CARRIÈRE  PARCOURS SCOLAIRE  ;0;0;3;0;0.0;0.0;0.42857142857142855;0.0;0
COMPÉTENCES  Alain Amari  Professeur de Musique  3 01 1213 1415;COMPÉTENCES  Alain Amari  Professeur de Musique  3 01 1213 1415;CV_47;1;13;7.04;92.96;[True, False, True, True, False, True, True, True, False, False, False, False, False];['NOUN', 'SPACE', 'PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NUM', 'NOUN', 'NOUN', 'NUM'];COMPÉTENCES  Alain Amari  Professeur de Musique  3 01 1213 1415;0;2;5;2;0.0;0.15384615384615385;0.38461538461538464;0.15384615384615385;1
He;He;CV_47;2;1;7.39;92.61;[True];['PROPN'];He;0;1;0;0;0.0;1.0;0.0;0.0;0
www.sitevraimentsuper.fr  Q 01 12 13 1415;www.sitevraimentsuper.fr  Q 01 12 13 1415;CV_47;3;7;9.86;90.14;[False, False, True, False, False, False, False];['ADJ', 'SPACE', 'NOUN', 'NOUN', 'DET', 'DET', 'NUM'];www.sitevraimentsuper.fr  Q 01 12 13 1415;0;0;2;1;0.0;0.0;0.2857142857142857;0.14285714285714285;0
ÛG  bonjour@sitevraimentsuper.fr  ;ÛG  bonjour@sitevraimentsuper.fr  ;CV_47;4;4;11.27;88.73;[True, False, False, False];['PROPN', 'SPACE', 'VERB', 'SPACE'];ÛG  bonjour@sitevraimentsuper.fr  ;1;1;0;0;0.25;0.25;0.0;0.0;0
Je suis un professeur de musique qualifié et professionnel avec un haut niveau  d'expérience et une vraie joie de partager ma passion pour tout ce qui est musical.;Je suis un professeur de musique qualifié et professionnel avec un haut niveau  d'expérience et une vraie joie de partager ma passion pour tout ce qui est musical.;CV_47;5;31;22.18;77.82;[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'PRON', 'PRON', 'AUX', 'NOUN', 'PUNCT'];Je suis un professeur de musique qualifié et professionnel avec un haut niveau  d'expérience et une vraie joie de partager ma passion pour tout ce qui est musical.;2;0;7;0;0.06451612903225806;0.0;0.22580645161290322;0.0;0
    +_2016;    +_2016;CV_47;6;4;23.59;76.41;[False, False, False, False];['SPACE', 'ADP', 'SPACE', 'NUM'];    +_2016;0;0;0;1;0.0;0.0;0.0;0.25;0
- PRÉSENT  École privée de Condorcet  + 2014-2016  La Guilde des artistes en action  PROFESSEUR DE MUSIQUE  + Enseigne l'histoire et l'appréciation de la musique + _ Donne des cours sur une gamme d'instruments,  englobant les cordes, les percussions et le clavier  PROFESSEUR DE MUSIQUE PRIVÉ  ;- PRÉSENT  École privée de Condorcet  + 2014-2016  La Guilde des artistes en action  PROFESSEUR DE MUSIQUE  + Enseigne l'histoire et l'appréciation de la musique + _ Donne des cours sur une gamme d'instruments,  englobant les cordes, les percussions et le clavier  PROFESSEUR DE MUSIQUE PRIVÉ  ;CV_47;7;61;45.07;54.93;[False, True, False, True, True, True, True, False, False, False, False, False, False, True, True, True, True, True, True, False, True, True, True, False, False, True, False, True, True, False, True, True, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False];['PUNCT', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'SPACE', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'SPACE', 'DET', 'PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'SPACE', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'SPACE', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'SPACE'];- PRÉSENT  École privée de Condorcet  + 2014-2016  La Guilde des artistes en action  PROFESSEUR DE MUSIQUE  + Enseigne l'histoire et l'appréciation de la musique + _ Donne des cours sur une gamme d'instruments,  englobant les cordes, les percussions et le clavier  PROFESSEUR DE MUSIQUE PRIVÉ  ;1;3;21;0;0.01639344262295082;0.04918032786885246;0.3442622950819672;0.0;0
- Dirige des cours trois après-midi par semaine °_ Supervise les performances des élèves lors d'événements locaux  - Dirige des ateliers au centre communautaire de la ville     + 2016  Licence en Arts avec une spécialisation en Musique  + 2013;- Dirige des cours trois après-midi par semaine °_ Supervise les performances des élèves lors d'événements locaux  - Dirige des ateliers au centre communautaire de la ville     + 2016  Licence en Arts avec une spécialisation en Musique  + 2013;CV_47;8;45;60.92;39.08;[False, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True, True, True, True, True, True, False, False, False];['PUNCT', 'VERB', 'ADP', 'NOUN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'SPACE', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'SPACE', 'ADP', 'NUM', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'ADP', 'NUM'];- Dirige des cours trois après-midi par semaine °_ Supervise les performances des élèves lors d'événements locaux  - Dirige des ateliers au centre communautaire de la ville     + 2016  Licence en Arts avec une spécialisation en Musique  + 2013;3;0;14;3;0.06666666666666667;0.0;0.3111111111111111;0.06666666666666667;0
Activités au Lycée  UNIVERSITÉ DE CONDORCET  ° Membre de la société de musique;Activités au Lycée  UNIVERSITÉ DE CONDORCET  ° Membre de la société de musique;CV_47;9;15;66.2;33.8;[True, True, True, False, True, True, True, False, False, True, True, True, True, True, True];['NOUN', 'ADP', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN'];Activités au Lycée  UNIVERSITÉ DE CONDORCET  ° Membre de la société de musique;0;1;7;0;0.0;0.06666666666666667;0.4666666666666667;0.0;0
La Luciole 2013-2016 + Membre de la société internationale de musique;La Luciole 2013-2016 + Membre de la société internationale de musique;CV_47;10;13;70.77;29.23;[True, True, False, False, False, False, True, True, True, True, True, True, True];['DET', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN'];La Luciole 2013-2016 + Membre de la société internationale de musique;0;0;7;0;0.0;0.0;0.5384615384615384;0.0;0
2013- 2014  ÉCOLE DES BEAUX-ARTS DE CONDORCET  + Membre de la fanfare de l'Académie de Condorcet, 2013 + Membre du club de musique de Paris, 2011-2013  ;2013- 2014  ÉCOLE DES BEAUX-ARTS DE CONDORCET  + Membre de la fanfare de l'Académie de Condorcet, 2013 + Membre du club de musique de Paris, 2011-2013  ;CV_47;11;36;83.45;16.55;[False, False, False, True, True, True, False, True, True, True, False, False, True, True, True, True, True, False, True, True, True, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False];['NOUN', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'SPACE'];2013- 2014  ÉCOLE DES BEAUX-ARTS DE CONDORCET  + Membre de la fanfare de l'Académie de Condorcet, 2013 + Membre du club de musique de Paris, 2011-2013  ;0;2;17;0;0.0;0.05555555555555555;0.4722222222222222;0.0;0
° A joué avec le groupe Tigers  ;° A joué avec le groupe Tigers  ;CV_47;12;8;86.27;13.73;[False, True, True, True, True, True, True, False];['NOUN', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PROPN', 'SPACE'];° A joué avec le groupe Tigers  ;1;1;2;0;0.125;0.125;0.25;0.0;0
Je joue de la guitare (basse, acoustique, électrique), de la batterie (classique et  électrique), du clavier ou du piano.;Je joue de la guitare basse, acoustique, électrique, de la batterie classique et  électrique, du clavier ou du piano.;CV_47;13;29;96.48;3.52;[True, True, True, True, True, True, False, True, False, True, False, True, True, True, True, True, False, True, False, True, True, True, True, True, False];['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'SPACE', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT'];Je joue de la guitare basse, acoustique, électrique, de la batterie classique et  électrique, du clavier ou du piano.;1;0;4;0;0.034482758620689655;0.0;0.13793103448275862;0.0;0
Je joue dans un groupe local appelé La Vie.;Je joue dans un groupe local appelé La Vie.;CV_47;14;10;100.0;0.0;[True, True, True, True, True, True, True, True, True, False];['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'PUNCT'];Je joue dans un groupe local appelé La Vie.;2;0;2;0;0.2;0.0;0.2;0.0;0
